***lapse on 9 step
***lapse on 9 step
***lapse on 9 step
***lapse on 3 step
***lapse on 3 step
***lapse on 1 step
***lapse on 1 step
***lapse on 4 step
***lapse on 6 step
***lapse on 2 step
***lapse on 2 step
***lapse on 5 step
***lapse on 5 step
***lapse on 2 step
***lapse on 4 step
***lapse on 3 step
***lapse on 2 step
***lapse on 3 step
***lapse on 4 step
***lapse on 3 step
***lapse on 5 step
***lapse on 6 step
***lapse on 1 step
***lapse on 5 step
***lapse on 1 step
***lapse on 5 step
***lapse on 1 step
***lapse on 3 step
***lapse on 8 step
***lapse on 8 step
***lapse on 2 step
***lapse on 3 step
***lapse on 3 step
***lapse on 7 step
***lapse on 2 step
***lapse on 9 step
***lapse on 5 step
***lapse on 3 step
***lapse on 1 step
***lapse on 1 step
***lapse on 1 step
***lapse on 2 step
***lapse on 6 step
***lapse on 1 step
***lapse on 6 step
***lapse on 1 step
***lapse on 3 step
***lapse on 5 step
***lapse on 3 step
***lapse on 1 step
***lapse on 7 step
***lapse on 6 step
***lapse on 2 step
***lapse on 2 step
***lapse on 6 step
***lapse on 9 step
***lapse on 1 step
***lapse on 3 step
***lapse on 3 step
***lapse on 7 step
***lapse on 4 step
***lapse on 5 step
***lapse on 1 step
***lapse on 5 step
***lapse on 1 step
***lapse on 4 step
***lapse on 2 step
***lapse on 3 step
***lapse on 7 step
***lapse on 6 step
***lapse on 6 step
***lapse on 1 step
***lapse on 7 step
***lapse on 7 step
***lapse on 9 step
***lapse on 6 step
***lapse on 2 step
***lapse on 2 step
***lapse on 2 step
***lapse on 5 step
***lapse on 2 step
***lapse on 1 step
***lapse on 7 step
***lapse on 2 step
***lapse on 3 step
***lapse on 6 step
***lapse on 2 step
***lapse on 3 step
***lapse on 5 step
***lapse on 3 step
***lapse on 1 step
***lapse on 1 step
***lapse on 3 step
***lapse on 3 step
***lapse on 4 step
***lapse on 8 step
***lapse on 8 step
***lapse on 3 step
***lapse on 3 step
***lapse on 5 step
***lapse on 1 step
***lapse on 5 step
***lapse on 2 step
***lapse on 2 step
***lapse on 6 step
sample step state instance alg 
0 15 -3059592709451100214 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 7 step
1 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 4 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 5 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 6 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 7 -3061446989167471190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 8 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 9 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 10 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
1 11 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 5 step
***lapse on 3 step
2 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 4 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 5 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 6 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 7 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 8 -62259093810102163 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 9 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 10 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
2 11 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 2 step
***lapse on 8 step
3 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 2 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 3 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 4 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 5 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 6 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 7 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 8 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 9 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 10 6202753901777304236 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 11 5533451347446379297 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 12 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
3 13 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 1 step
***lapse on 6 step
***lapse on 4 step
4 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 4 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 5 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 6 -62259093810102163 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 7 -1496236771955425000 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 8 8123582882628033410 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 9 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 10 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 11 -3973549245254010364 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 12 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
4 13 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 4 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 5 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 6 -62259093810102163 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 7 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 8 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
5 9 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 4 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 5 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 6 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 7 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 8 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
6 9 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 4 step
***lapse on 7 step
7 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 4 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 5 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 6 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 7 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 8 -62259093810102163 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 9 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 10 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 11 -3973549245254010364 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 12 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
7 13 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 2 step
***lapse on 8 step
8 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 2 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 3 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 4 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 5 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 6 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 7 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 8 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 9 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 10 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 11 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 12 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
8 13 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 7 step
9 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 4 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 5 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 6 -62259093810102163 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 7 4567802343715646883 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 8 -62259093810102163 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 9 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 10 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
9 11 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 1 step
***lapse on 7 step
***lapse on 1 step
***lapse on 1 step
10 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 4 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 5 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 6 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 7 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 8 -6405715908419804494 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 9 4500729783060276424 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 10 -1556290798260771193 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 11 7593374512023122673 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 12 6202753901777304236 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 13 5533451347446379297 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 14 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
10 15 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 3 step
11 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 3 -1307237093335752452 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 4 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 5 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 6 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 7 -62259093810102163 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 8 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 9 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
11 10 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 3 step
***lapse on 2 step
12 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 3 8759009591967163201 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 4 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 5 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 6 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 7 131004002407345068 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 8 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 9 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
12 10 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
***lapse on 7 step
13 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 2 -8808955147211754241 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 3 -2232977016169889186 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 4 -1213282299097518449 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 5 -2469428029264345578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 6 -62259093810102163 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 7 4567802343715646883 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 8 -3309771402899437555 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 9 -995559770079843837 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 10 -1383706288466668190 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
13 11 6275270693043323127 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
14 0 -2877737677974929689 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
14 1 -138232434192178578 Jam-4 A*_h:zeroh_f:1*(g+1)+1h_is_stop:<lambda>_lapse_rate:0.1 
